id,nombre,apellido,email,pais,provincia,matematica,fisica,literatura,programacion,telefono
1,Patricia,Saavedra,patricia.saavedra@universidadvirtual.edu.ar,Argentina,Salta,2.96,4.8,7.43,7.57,478-453-2500
2,Valentín,Del Cid,valentín.del cid@universidadvirtual.edu.ar,Argentina,San Juan,5.57,5.25,3.56,9.56,974-380-0001
3,Florencia,Castellanos,florencia.castellanos@universidadvirtual.edu.ar,Argentina,Tucumán,8.47,8.75,4.84,5.46,132-379-5064
4,Gael,Ledesma,gael.ledesma@universidadvirtual.edu.ar,Argentina,Salta,6.79,4.46,7.26,7.7,217-449-2132
5,Lara,Paredes,lara.paredes@universidadvirtual.edu.ar,Argentina,Misiones,2.79,8.0,6.75,8.64,884-438-7933
6,Ana,Olivares,ana.olivares@universidadvirtual.edu.ar,Argentina,Neuquén,3.98,6.14,4.61,9.2,576-250-4736
7,Andrés,Pineda,andrés.pineda@universidadvirtual.edu.ar,Argentina,Corrientes,6.39,5.5,9.11,5.73,472-225-8511
8,Sergio,Reséndiz,sergio.reséndiz@universidadvirtual.edu.ar,Argentina,La Pampa,2.61,5.87,5.01,6.97,476-653-2667
9,Facundo,Maturana,facundo.maturana@universidadvirtual.edu.ar,Argentina,Neuquén,7.66,8.79,7.29,8.52,640-642-9621
10,Graciela,Tello,graciela.tello@universidadvirtual.edu.ar,Argentina,Buenos Aires,9.17,9.75,6.0,9.77,429-110-6071
11,Brian,Palacios,brian.palacios@universidadvirtual.edu.ar,Argentina,Santiago del Estero,4.8,4.6,8.54,8.99,415-916-6186
12,Martín,Del Campo,martín.del campo@universidadvirtual.edu.ar,Argentina,Formosa,7.43,6.07,3.03,8.59,716-611-0837
13,Simón,Godoy,simón.godoy@universidadvirtual.edu.ar,Argentina,Chaco,5.42,4.39,8.99,5.53,737-930-1770
14,Celeste,Pérez,celeste.pérez@universidadvirtual.edu.ar,Argentina,Río Negro,6.69,5.33,4.91,8.77,868-479-8515
15,Ramiro,Castro,ramiro.castro@universidadvirtual.edu.ar,Argentina,Santa Cruz,8.59,9.32,8.45,6.11,357-637-9603
16,Rafael,Aguayo,rafael.aguayo@universidadvirtual.edu.ar,Argentina,Salta,6.97,4.15,4.66,5.95,514-247-0751
17,Olivia,Ortega,olivia.ortega@universidadvirtual.edu.ar,Argentina,Santiago del Estero,3.02,9.17,4.06,4.11,297-132-1884
18,Celeste,Santillán,celeste.santillán@universidadvirtual.edu.ar,Argentina,San Juan,2.37,6.49,8.47,9.63,780-768-6482
19,Emilia,Barboza,emilia.barboza@universidadvirtual.edu.ar,Argentina,Formosa,4.79,7.1,5.37,8.67,863-948-3119
20,Zoe,Portillo,zoe.portillo@universidadvirtual.edu.ar,Argentina,Córdoba,8.2,6.28,6.34,5.41,489-519-6814
21,Andrés,Cruz,andrés.cruz@universidadvirtual.edu.ar,Argentina,San Luis,7.84,4.68,9.09,6.27,357-305-4455
22,Abril,Herrera,abril.herrera@universidadvirtual.edu.ar,Argentina,Jujuy,8.69,4.75,4.81,4.44,275-888-3998
